song_id,line
48,Я пьяный и грустный тащусь по блоку
48,В кармане ключи с жаждой дедовщины
48,Я как вода с переменным током
49,"Бегом на концерт, затем снова концерт"
49,Еду с катушек — красиво пиздец
49,В город грехов — этот город на трэпе
49,Крутим планету — мы новые дети
49,Новый обвес — моя новая цепь
49,В самый новый мир точка ком
49,Я погружаюсь всё глубже и глубже
49,Я погружаюсь всё дальше и дальше
49,Идём гулять со мною по краю
49,В стиле подбитого крыла — я на пути вниз
49,Парни превратили Спб в свой Мемфис
49,"Забиваю на дела, я пишу релиз"
50,"Я иду искать, я иду искать"
50,И мы с тобой уже в пути
50,"Конечно можно — я свежей, чем твой питомец"
50,Если ты на скорости – я покажу спидометр
50,"Раз, два, три — меня не найти, я в доме"
50,"На центральном блоке меня палят, входят в ступор"
50,"Хочешь покажу, как я запрыгиваю внутрь"
50,Три цепи на шее — золото уже не в моде
50,"Платиновый нож в кармане, моя бэйби в боде"
50,"Приобрету вставную челюсть, когда буду старым"
50,Я хочу сиять диамантовым оскалом 
50,"Группи-группи, она хочет груви груви "
50,"Я держу тебя за руку — нет, держу за дуру "
